iter,kind,phase,file,line,sig,raw
186,double-to-ff,speedup,B1m.h,138,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
189,double-to-float,speedup,B1m.h,97,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<float>’
190,double-to-ff,speedup,B1m.h,97,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
191,double-to-float,speedup,B1m.h,98,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<float>’
192,double-to-ff,speedup,B1m.h,98,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
193,double-to-float,speedup,B2m.h,105,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<float>’
194,double-to-ff,speedup,B2m.h,105,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
195,double-to-float,speedup,B2m.h,106,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<float>’
196,double-to-ff,speedup,B2m.h,106,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
198,double-to-float,speedup,B2m.h,188,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<float>’
199,double-to-ff,speedup,B2m.h,188,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
218,double-to-float,speedup,B3m.h,97,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<std::complex<float> >’
219,double-to-ff,speedup,B3m.h,97,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ffun::ffloat>’
